"Name","Status"
"AJRouter","Stopped"
"ALG","Stopped"
"AppIDSvc","Stopped"
"Appinfo","Running"
"AppMgmt","Running"
"AppReadiness","Stopped"
"AppVClient","Stopped"
"AppXSvc","Stopped"
"AssignedAccessManagerSvc","Stopped"
"AudioEndpointBuilder","Running"
"Audiosrv","Running"
"AxInstSV","Stopped"
"BcastDVRUserService_141e38","Stopped"
"BDESVC","Stopped"
"BFE","Running"
"BITS","Running"
"BluetoothUserService_141e38","Stopped"
"BrokerInfrastructure","Running"
"BTAGService","Stopped"
"BthAvctpSvc","Stopped"
"bthserv","Stopped"
"camsvc","Stopped"
"CaptureService_141e38","Stopped"
"CDPSvc","Running"
"CDPUserSvc_141e38","Running"
"CertPropSvc","Stopped"
"ClipSVC","Stopped"
"COMSysApp","Running"
"CoreMessagingRegistrar","Running"
"CryptSvc","Running"
"CscService","Stopped"
"DcomLaunch","Running"
"defragsvc","Stopped"
"DeviceAssociationService","Stopped"
"DeviceInstall","Stopped"
"DevicePickerUserSvc_141e38","Stopped"
"DevicesFlowUserSvc_141e38","Stopped"
"DevQueryBroker","Stopped"
"Dhcp","Running"
"diagnosticshub.standardcollector.service","Stopped"
"diagsvc","Stopped"
"DiagTrack","Running"
"DmEnrollmentSvc","Stopped"
"dmwappushservice","Stopped"
"Dnscache","Running"
"DoSvc","Running"
"dot3svc","Stopped"
"DPS","Running"
"DsmSvc","Stopped"
"DsSvc","Running"
"DusmSvc","Running"
"Eaphost","Stopped"
"EFS","Stopped"
"embeddedmode","Stopped"
"EntAppSvc","Stopped"
"EventLog","Running"
"EventSystem","Running"
"Fax","Stopped"
"fdPHost","Stopped"
"FDResPub","Stopped"
"fhsvc","Stopped"
"FontCache","Running"
"FrameServer","Stopped"
"gpsvc","Running"
"GraphicsPerfSvc","Stopped"
"hidserv","Stopped"
"HvHost","Stopped"
"icssvc","Stopped"
"IKEEXT","Stopped"
"InstallService","Stopped"
"iphlpsvc","Running"
"IpxlatCfgSvc","Stopped"
"irmon","Stopped"
"KeyIso","Running"
"KtmRm","Stopped"
"LanmanServer","Running"
"LanmanWorkstation","Running"
"lfsvc","Running"
"LicenseManager","Running"
"lltdsvc","Stopped"
"lmhosts","Running"
"LSM","Running"
"LxpSvc","Stopped"
"MapsBroker","Stopped"
"MessagingService_141e38","Stopped"
"mpssvc","Running"
"MSDTC","Running"
"MSiSCSI","Stopped"
"msiserver","Running"
"NaturalAuthentication","Stopped"
"NcaSvc","Stopped"
"NcbService","Running"
"NcdAutoSetup","Stopped"
"Netlogon","Stopped"
"Netman","Stopped"
"netprofm","Running"
"NetSetupSvc","Stopped"
"NetTcpPortSharing","Stopped"
"NgcCtnrSvc","Stopped"
"NgcSvc","Stopped"
"NlaSvc","Running"
"nsi","Running"
"OneSyncSvc_141e38","Running"
"OpenSSHd","Running"
"p2pimsvc","Stopped"
"p2psvc","Stopped"
"PcaSvc","Running"
"PeerDistSvc","Stopped"
"PerfHost","Stopped"
"PhoneSvc","Stopped"
"PimIndexMaintenanceSvc_141e38","Running"
"pla","Stopped"
"PlugPlay","Running"
"PNRPAutoReg","Stopped"
"PNRPsvc","Stopped"
"PolicyAgent","Running"
"Power","Running"
"PrintNotify","Stopped"
"PrintWorkflowUserSvc_141e38","Stopped"
"ProfSvc","Running"
"puppet","Running"
"PushToInstall","Stopped"
"QWAVE","Stopped"
"RasAuto","Stopped"
"RasMan","Stopped"
"RemoteAccess","Stopped"
"RemoteRegistry","Stopped"
"RetailDemo","Stopped"
"RmSvc","Stopped"
"RpcEptMapper","Running"
"RpcLocator","Stopped"
"RpcSs","Running"
"SamSs","Running"
"SCardSvr","Stopped"
"ScDeviceEnum","Stopped"
"Schedule","Running"
"SCPolicySvc","Stopped"
"SDRSVC","Stopped"
"seclogon","Stopped"
"SecurityHealthService","Running"
"SEMgrSvc","Stopped"
"SENS","Running"
"Sense","Stopped"
"SensorDataService","Stopped"
"SensorService","Stopped"
"SensrSvc","Stopped"
"SessionEnv","Stopped"
"SgrmBroker","Running"
"SharedAccess","Stopped"
"SharedRealitySvc","Stopped"
"ShellHWDetection","Running"
"shpamsvc","Stopped"
"smphost","Stopped"
"SmsRouter","Stopped"
"SNMPTRAP","Stopped"
"spectrum","Stopped"
"Spooler","Running"
"sppsvc","Stopped"
"SSDPSRV","Running"
"ssh-agent","Stopped"
"SstpSvc","Stopped"
"StateRepository","Running"
"stisvc","Stopped"
"StorSvc","Running"
"svsvc","Stopped"
"swprv","Stopped"
"SysMain","Running"
"SystemEventsBroker","Running"
"TabletInputService","Running"
"TapiSrv","Stopped"
"TermService","Stopped"
"Themes","Running"
"TieringEngineService","Stopped"
"TimeBrokerSvc","Running"
"TokenBroker","Running"
"TPAutoConnSvc","Stopped"
"TPVCGateway","Stopped"
"TrkWks","Running"
"TrustedInstaller","Stopped"
"tzautoupdate","Stopped"
"UevAgentService","Stopped"
"UmRdpService","Stopped"
"UnistoreSvc_141e38","Running"
"upnphost","Stopped"
"UserDataSvc_141e38","Running"
"UserManager","Running"
"UsoSvc","Running"
"VacSvc","Stopped"
"VaultSvc","Running"
"vds","Stopped"
"VGAuthService","Running"
"vmicguestinterface","Stopped"
"vmicheartbeat","Stopped"
"vmickvpexchange","Stopped"
"vmicrdv","Stopped"
"vmicshutdown","Stopped"
"vmictimesync","Stopped"
"vmicvmsession","Stopped"
"vmicvss","Stopped"
"VMTools","Running"
"vmvss","Stopped"
"VMware Physical Disk Helper Service","Running"
"VMwareCAFCommAmqpListener","Stopped"
"VMwareCAFManagementAgentHost","Stopped"
"VSS","Stopped"
"W32Time","Stopped"
"WaaSMedicSvc","Stopped"
"WalletService","Stopped"
"WarpJITSvc","Running"
"wbengine","Stopped"
"WbioSrvc","Stopped"
"Wcmsvc","Running"
"wcncsvc","Stopped"
"WdiServiceHost","Running"
"WdiSystemHost","Running"
"WdNisSvc","Running"
"WebClient","Stopped"
"Wecsvc","Stopped"
"WEPHOSTSVC","Stopped"
"wercplsupport","Stopped"
"WerSvc","Stopped"
"WFDSConMgrSvc","Stopped"
"WiaRpc","Stopped"
"WinDefend","Running"
"WinHttpAutoProxySvc","Running"
"Winmgmt","Running"
"WinRM","Running"
"wisvc","Stopped"
"WlanSvc","Stopped"
"wlidsvc","Running"
"WLMS","Running"
"wlpasvc","Stopped"
"wmiApSrv","Stopped"
"WMPNetworkSvc","Stopped"
"workfolderssvc","Stopped"
"WpcMonSvc","Stopped"
"WPDBusEnum","Stopped"
"WpnService","Running"
"WpnUserService_141e38","Running"
"wscsvc","Running"
"WSearch","Running"
"wuauserv","Running"
"WwanSvc","Stopped"
"xbgm","Stopped"
"XblAuthManager","Stopped"
"XblGameSave","Stopped"
"XboxGipSvc","Stopped"
"XboxNetApiSvc","Stopped"
